"School Number","School Name","LA Code","Local Authority","Sector","Governance - see notes","WM Code","Welsh Medium Type - see notes","School Type","Religious Character","Address 1","Address 2","Address 3","Address 4","Postcode","Phone Number","Pupils - see notes","lon","lat"
6602130,"Ysgol Gynradd Amlwch",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Amlwch","Ynys Môn",NA,NA,"LL68 9DU","01407 830414",294,-4.3470424,53.4132733
6602131,"Ysgol Gynradd Beaumaris",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Maeshyfryd","Beaumaris","Ynys Môn",NA,"LL58 8HL","01248 810451",48,-4.1038892,53.2651446
6602132,"Ysgol Gynradd Bodedern",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Bodedern","Caergybi","Ynys Môn",NA,"LL65 3TZ","01407 740201",98,-4.4985594,53.2939545
6602133,"Ysgol Gymuned Bodffordd",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Bodffordd","Llangefni","Ynys Môn",NA,"LL77 7LZ","01248 723384",77,-4.3597542,53.2634935
6602134,"Ysgol Gymuned Bodorgan",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Bodorgan","Ynys Môn",NA,NA,"LL62 5AB","01407 840386",21,-4.4043431,53.2007955
6602135,"Ysgol Gymuned Bryngwran",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Bryngwran","Caergybi","Ynys Môn",NA,"LL65 3PP","01407 720400",59,-4.476044,53.2693123
6602136,"Ysgol Gynradd Brynsiencyn",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Brynsiencyn","Llanfairpwll","Ynys Môn",NA,"LL61 6HZ","01248 430457",53,-4.2693121,53.1789052
6602138,"Ysgol Cemaes",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Cemaes","Ynys Môn",NA,NA,"LL67 0LB","01407 710225",71,-4.454181,53.4066219
6602139,"Ysgol Gymuned Dwyran",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Dwyran","Llanfairpwllgwyngyll","Ynys Môn",NA,"LL61 6AQ","01248 430447",36,-4.3272211,53.1648518
6602140,"Ysgol Esceifiog",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Y Gaerwen","Ynys Môn",NA,NA,"LL60 6DD","01248 421669",148,-4.276837,53.2217932
6602141,"Ysgol Gynradd Garreglefn",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Garreglefn","Amlwch","Ynys Môn",NA,"LL68 0PH","01407 710508",27,-4.4339993,53.3715367
6602142,"Ysgol Gymuned Y Ffridd",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Gwalchmai","Caergybi","Ynys Môn",NA,"LL65 4SG","01407 720477",97,-4.4159085,53.2516415
